2024-10-03 15:39:08,654 - INFO - Excluded strings: ['<!-- FigureContent="Stores.', '" Per" -->', '<!-- PageHeader="Imperial Honours.', 'http://www.hathitrust.org/access use#cc-zero', 'http://www.hathitrust. org/access use#cc-zero', 'org/access', 'use#cc-zero', '/'], Excluded patterns: ['http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+]|[!*\\\\(\\\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+', '<!--\\s*[a-zA-Z]+\\s*="[^"]*"\\s*-->']
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Original from', 'polygon': [4.242, 9.6172, 4.7322, 9.6172, 4.7322, 9.7072, 4.242, 9.7072], 'spans': [{'offset': 33864, 'length': 30}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA" -->', 'polygon': [3.8184, 9.7172, 5.1357, 9.7172, 5.1357, 9.8239, 3.8184, 9.8239], 'spans': [{'offset': 33895, 'length': 29}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="390" -->', 'polygon': [0.9601, 0.6467, 1.1668, 0.6434, 1.1668, 0.7668, 0.9568, 0.7701], 'spans': [{'offset': 34508, 'length': 25}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.8302, 0.6434, 2.4102, 0.6434, 2.4102, 0.7901, 1.8302, 0.7901], 'spans': [{'offset': 34535, 'length': 31}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'exonerate the representative of the Dunedin Star,', 'polygon': [0.9634, 0.9468, 3.337, 0.9434, 3.337, 1.0568, 0.9634, 1.0635], 'spans': [{'offset': 34645, 'length': 49}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-04-28 23:23 GMT', 'polygon': [0.0167, 9.6344, 0.0167, 7.8109, 0.11, 7.8109, 0.1133, 9.6311], 'spans': [{'offset': 40844, 'length': 33}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0)', 'polygon': [0.1233, 9.6311, 0.1233, 8.1709, 0.22, 8.1709, 0.22, 9.6311], 'spans': [{'offset': 40879, 'length': 27}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3535, 9.5244, 2.0235, 9.5244, 2.0235, 9.7411, 1.3535, 9.7378], 'spans': [{'offset': 40680, 'length': 6}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9001, 9.6044, 1.3435, 9.6078, 1.3401, 9.7011, 0.9001, 9.6944], 'spans': [{'offset': 40667, 'length': 12}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[HOUSE.]" -->', 'polygon': [3.0436, 0.6401, 3.7004, 0.6367, 3.7037, 0.7901, 3.0436, 0.7934], 'spans': [{'offset': 34568, 'length': 30}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Privilege." -->', 'polygon': [4.1704, 0.6434, 4.7371, 0.6501, 4.7371, 0.7934, 4.1671, 0.7868], 'spans': [{'offset': 34600, 'length': 32}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '[SEPT. 10', 'polygon': [5.2038, 0.6501, 5.6705, 0.6501, 5.6739, 0.7868, 5.2038, 0.7934], 'spans': [{'offset': 34634, 'length': 9}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'those years I have frequently seen published', 'polygon': [3.397, 0.9401, 5.6705, 0.9468, 5.6705, 1.0668, 3.397, 1.0601], 'spans': [{'offset': 37684, 'length': 44}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Original from', 'polygon': [4.1404, 9.5544, 4.6171, 9.5544, 4.6171, 9.6411, 4.1404, 9.6411], 'spans': [{'offset': 40688, 'length': 30}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA" -->', 'polygon': [3.7337, 9.6611, 5.0171, 9.6578, 5.0171, 9.7511, 3.7337, 9.7511], 'spans': [{'offset': 40719, 'length': 29}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[HOUSE.]" -->', 'polygon': [2.5574, 0.7067, 3.1942, 0.7067, 3.1942, 0.8534, 2.5574, 0.8534], 'spans': [{'offset': 46933, 'length': 30}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.4137, 0.7134, 1.9906, 0.7201, 1.9872, 0.8568, 1.4104, 0.8534], 'spans': [{'offset': 46900, 'length': 31}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="1901.]" -->', 'polygon': [0.5502, 0.7267, 0.8502, 0.7234, 0.8469, 0.8568, 0.5502, 0.8568], 'spans': [{'offset': 40908, 'length': 28}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-04-28 23:23 GMT / https://hdl.handle.net/2027/uc1.32106019788253', 'polygon': [0.0167, 9.7244, 0.0167, 5.1506, 0.1134, 5.1506, 0.1134, 9.7244], 'spans': [{'offset': 47079, 'length': 82}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.1234, 9.7244, 0.1267, 5.584, 0.2267, 5.584, 0.2201, 9.7244], 'spans': [{'offset': 47004, 'length': 74}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3704, 9.6077, 2.0506, 9.6244, 2.0406, 9.8211, 1.3604, 9.8344], 'spans': [{'offset': 47176, 'length': 6}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9069, 9.6878, 1.3404, 9.6911, 1.3404, 9.7778, 0.9069, 9.7744], 'spans': [{'offset': 47163, 'length': 12}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="391" -->', 'polygon': [5.0581, 0.7101, 5.2782, 0.7134, 5.2748, 0.8368, 5.0548, 0.8334], 'spans': [{'offset': 46977, 'length': 25}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Privilege.', 'polygon': [3.8344, 0.7134, 4.3979, 0.7134, 4.3979, 0.8534, 3.8344, 0.8501], 'spans': [{'offset': 46965, 'length': 10}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Original from', 'polygon': [4.1545, 9.6378, 4.6413, 9.6411, 4.6413, 9.7244, 4.1545, 9.7244], 'spans': [{'offset': 47184, 'length': 30}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA" -->', 'polygon': [3.7477, 9.7444, 5.0448, 9.7444, 5.0448, 9.8344, 3.7477, 9.8344], 'spans': [{'offset': 47215, 'length': 29}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="392" -->', 'polygon': [0.9368, 0.6301, 1.1636, 0.6301, 1.1602, 0.7501, 0.9368, 0.7535], 'spans': [{'offset': 47323, 'length': 25}]}
2024-10-03 15:39:09,045 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.817, 0.6301, 2.3971, 0.6301, 2.3971, 0.7635, 1.817, 0.7601], 'spans': [{'offset': 47350, 'length': 31}]}
2024-10-03 15:39:09,045 - INFO - Excluded due to y_range or header_y_range: {'content': 'find the intention of the honourable member', 'polygon': [0.9368, 0.9202, 3.334, 0.9235, 3.334, 1.0435, 0.9368, 1.0368], 'spans': [{'offset': 47437, 'length': 43}]}
